Genome Name,RR:HPKratio,HPK,RR,unit_norm_hkct,unit_norm_genect,Genome Size   * assembled,Gene Count   * assembled,hpkper100gene,HybridHPK,taxon_oid,Domain,Status,Study Name,Sequencing Center,IMG Genome ID ,Phylum,ForColors,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Ecotype,Habitat,Phylum2
Zooshikella ganghwensis DSM 15267,1.307692308,52,68,0.017639111,1.827344042,5798664,5387,0.965286802,12,2524614643,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614643,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Zooshikella,Zooshikella ganghwensis,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Marine, Sediment",not
Woodsholea maritima DSM 17123,1.236842105,38,47,0.012890119,1.003394037,3105947,2958,1.284651792,,2522125070,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2522125070,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Woodsholea,Woodsholea maritima,Environmental,Aquatic,Intertidal zone,Marine,,"Aquatic, Estuaries",not
Wenxinia marina DSM 24838,1,30,30,0.01017641,1.392132903,4175892,4104,0.730994152,,2515154190,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2515154190,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Wenxinia,Wenxinia marina,Environmental,Aquatic,Oceanic,Marine,,"Aquatic, Marine, Oil fields, Sediment",not
Vibrio splendidus 12B01,1.263157895,57,72,0.019335179,1.813436282,5596386,5346,1.066217733,63,638341231,Bacteria,Permanent Draft,Vibrio splendidus 12B01,J. Craig Venter Institute (JCVI),638341231,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus,Environmental,Aquatic,Unclassified,Marine,,"Marine, Surface water",not
Vibrio sp. MED222,1.37254902,51,70,0.017299897,1.605498302,4891901,4733,1.077540672,66,638341230,Bacteria,Permanent Draft,Vibrio sp. MED222,J. Craig Venter Institute (JCVI),638341230,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. MED222,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Vibrio parahaemolyticus 16,1.245283019,53,66,0.017978325,1.402987741,4535833,4136,1.281431335,10,647533245,Bacteria,Permanent Draft,Vibrio parahaemolyticus 16,J. Craig Venter Institute (JCVI),647533245,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. 16,Environmental,Aquatic,Unclassified,Marine,,"Host, Marine",not
Vibrio litoralis DSM 17657,1,24,24,0.008141128,1.217777077,3825715,3590,0.668523677,19,2524614821,Bacteria,Permanent Draft,"Genomic Encyclopedia of Type Strains, Phase I: the one thousand microbial genomes (KMG-I) project",DOE Joint Genome Institute (JGI),2524614821,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio litoralis,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine, Sea water",not
Vibrio fischeri MJ11,1.341463415,41,55,0.01390776,1.416217074,4503336,4175,0.982035928,22,642555167,Bacteria,Finished,Vibrio fischeri MJ11,J. Craig Venter Institute (JCVI),642555167,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri,Host-associated,Mollusca,Unclassified,Unclassified,,Fresh water,not
Vibrio campbellii AND4,1.542857143,35,54,0.011872478,1.368387946,4255798,4034,0.867625186,60,641380451,Bacteria,Permanent Draft,Vibrio campbellii AND4,J. Craig Venter Institute (JCVI),641380451,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio sp. AND4,Environmental,Aquatic,Unclassified,Marine,,"Aquatic, Marine",not
Vibrio alginolyticus 12G01,1.333333333,51,68,0.017299897,1.636366746,5160431,4824,1.05721393,80,638341222,Bacteria,Permanent Draft,Vibrio alginolyticus 12G01,J. Craig Venter Institute (JCVI),638341222,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio alginolyticus,Environmental,Aquatic,Unclassified,Marine,,"Host, Marine, Surface water",not
